url,title,title_length,meta_description,meta_length,h1_count,h1_text,word_count,images,images_no_alt,internal_links,external_links,schema_present
/,Sample Company - Quality Products & Services,47,Discover our range of quality products and services. Get a free quote and same-day service available.,112,1,Welcome to Sample Company,856,12,2,25,3,true
/services/,Our Services - Sample Company,32,Expert services tailored to your needs. Free consultation and same day service. We serve all industries.,115,1,Our Professional Services,1240,8,0,18,2,true
/products/,Our Products - Premium Quality,32,High quality products at competitive prices. Instant quotes and free shipping. Best value guaranteed.,113,1,Browse Our Products,980,10,1,15,2,true
/solutions/,Business Solutions - Sample Company,38,Looking for business solutions? Get expert guidance and quick implementation with guaranteed results.,115,1,Professional Business Solutions,875,9,0,16,1,true
/about-us/,About Sample Company,21,,0,1,About Our Company,545,5,2,12,1,false
/contact/,Contact Us,10,Get in touch with Sample Company. Call us for a free quote or fill out our online form for instant response.,119,1,Contact Sample Company,320,3,0,8,0,false
/faq/,Frequently Asked Questions - Car Selling,43,Find answers to common questions about selling your car. Learn about our process payment and requirements.,118,1,Frequently Asked Questions,1850,4,0,22,2,true
/blog/how-to-sell-car-quickly/,How to Sell Your Car Quickly in Sydney,42,Learn the fastest way to sell your car in Sydney. Tips and strategies for a quick sale at the best price.,120,1,How to Sell Your Car Quickly,1520,6,1,14,5,true
/blog/car-valuation-tips/,Car Valuation Tips: Get the Best Price,43,Expert tips on getting accurate car valuations and maximizing your selling price in the Sydney market.,119,1,Car Valuation Tips,1680,7,0,16,4,true
/blog/selling-damaged-cars/,Selling Damaged Cars for Cash,32,,0,2,Selling Damaged Cars | Can You Sell Damaged Vehicles,892,5,3,10,3,false
/testimonials/,Customer Testimonials,21,Read real reviews from Sydney car sellers who chose Instant Auto Traders. See why we're rated 5 stars.,114,1,What Our Customers Say,745,15,0,8,0,true
/areas-we-service/,Areas We Service in Sydney,28,We buy cars across all Sydney suburbs. Find out if we service your area for free car pickup and valuation.,117,1,Sydney Areas We Service,620,8,1,20,1,true
/pricing-guide/,Car Pricing Guide Sydney,25,,0,1,Sydney Car Pricing Guide,1125,11,2,14,6,false
/sell-luxury-car/,Sell Luxury Car Sydney,23,Sell your luxury vehicle for premium prices. Specialized service for high-end cars Mercedes BMW Audi and more.,129,1,Sell Your Luxury Car,1340,14,0,12,2,true
/instant-quote/,Get Instant Quote,18,Enter your car details and get an instant cash quote. No obligation fast and easy online form.,110,1,Get Your Instant Quote,280,2,0,6,0,false
